AEA,AEA_NAME,COUNTY,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,Total_PK12,White_Total,Perc_White
15,Great Prairie AEA,54,Keokuk,3330,Keota Comm School District,321,294,91.59
12,Northwest AEA,75,Plymouth,3348,Kingsley-Pierson Comm School District,453,394,86.98
11,Heartland AEA,63,Marion,3375,Knoxville Comm School District,1674,1508,90.08
07,Central Rivers AEA,95,Winnebago,3420,Lake Mills Comm School District,671,568,84.65
13,Green Hills AEA,27,Decatur,3465,Lamoni Comm School District,380,324,85.26
05,Prairie Lakes AEA,76,Pocahontas,3537,Laurens-Marathon Comm School District,141,100,70.92
12,Northwest AEA,97,Woodbury,3555,Lawton-Bronson Comm School District,718,656,91.37
12,Northwest AEA,75,Plymouth,3600,Le Mars Comm School District,2309,1642,71.11
13,Green Hills AEA,87,Taylor,3609,Lenox Comm School District,520,368,70.77
13,Green Hills AEA,78,Pottawattamie,3645,Lewis Central Comm School District,3022,2452,81.14
10,Grant Wood AEA,16,Cedar,3691,North Cedar Comm School District,631,594,94.14
10,Grant Wood AEA,57,Linn,3715,Linn-Mar Comm School District,7690,5839,75.93
10,Grant Wood AEA,57,Linn,3744,Lisbon Comm School District,719,676,94.02
13,Green Hills AEA,43,Harrison,3798,Logan-Magnolia Comm School District,725,698,96.28
10,Grant Wood AEA,52,Johnson,3816,Lone Tree Comm School District,428,382,89.25
09,Mississippi Bend AEA,58,Louisa,3841,Louisa-Muscatine Comm School District,815,715,87.73
05,Prairie Lakes AEA,55,Kossuth,3897,LuVerne Comm School District,35,28,80.00
11,Heartland AEA,50,Jasper,3906,Lynnville-Sully Comm School District,546,529,96.89
11,Heartland AEA,08,Boone,3942,Madrid Comm School District,684,633,92.54
13,Green Hills AEA,65,Mills,3978,East Mills Comm School District,447,408,91.28
05,Prairie Lakes AEA,13,Calhoun,4023,Manson Northwest Webster Comm School District,780,729,93.46
12,Northwest AEA,67,Monona,4033,Maple Valley-Anthon Oto Comm School District,653,591,90.51
09,Mississippi Bend AEA,49,Jackson,4041,Maquoketa Comm School District,1313,1128,85.91
01,Keystone AEA,28,Delaware,4043,Maquoketa Valley Comm School District,705,679,96.31
12,Northwest AEA,18,Cherokee,4068,Marcus-Meriden-Cleghorn Comm School District,386,359,93.01
10,Grant Wood AEA,57,Linn,4086,Marion Independent School District,2229,1820,81.65
07,Central Rivers AEA,64,Marshall,4104,Marshalltown Comm School District,5188,1578,30.42
11,Heartland AEA,91,Warren,4122,Martensdale-St Marys Comm School District,580,536,92.41
07,Central Rivers AEA,17,Cerro Gordo,4131,Mason City Comm School District,3598,2599,72.24
12,Northwest AEA,84,Sioux,4149,MOC-Floyd Valley Comm School District,1559,1179,75.63
15,Great Prairie AEA,29,Des Moines,4203,Mediapolis Comm School District,968,892,92.15
11,Heartland AEA,63,Marion,4212,Melcher-Dallas Comm School District,330,320,96.97
10,Grant Wood AEA,53,Jones,4269,Midland Comm School District,508,467,91.93
10,Grant Wood AEA,92,Washington,4271,Mid-Prairie Comm School District,1446,1297,89.70
13,Green Hills AEA,43,Harrison,4356,Missouri Valley Comm School District,756,695,91.93
01,Keystone AEA,22,Clayton,4419,MFL MarMac Comm School District,894,850,95.08
07,Central Rivers AEA,79,Poweshiek,4437,Montezuma Comm School District,493,471,95.54
10,Grant Wood AEA,53,Jones,4446,Monticello Comm School District,1035,931,89.95
15,Great Prairie AEA,04,Appanoose,4491,Moravia Comm School District,382,360,94.24
13,Green Hills AEA,93,Wayne,4505,Mormon Trail Comm School District,223,211,94.62
15,Great Prairie AEA,58,Louisa,4509,Morning Sun Comm School District,124,121,97.58
15,Great Prairie AEA,04,Appanoose,4518,Moulton-Udell Comm School District,164,160,97.56
13,Green Hills AEA,80,Ringgold,4527,Mount Ayr Comm School District,633,603,95.26
15,Great Prairie AEA,44,Henry,4536,Mount Pleasant Comm School District,1852,1441,77.81
10,Grant Wood AEA,57,Linn,4554,Mount Vernon Comm School District,1402,1263,90.09
13,Green Hills AEA,20,Clarke,4572,Murray Comm School District,298,285,95.64
09,Mississippi Bend AEA,70,Muscatine,4581,Muscatine Comm School District,4688,2791,59.54
07,Central Rivers AEA,19,Chickasaw,4599,Nashua-Plainfield Comm School District,582,543,93.30
11,Heartland AEA,85,Story,4617,Nevada Comm School District,1542,1280,83.01
05,Prairie Lakes AEA,11,Buena Vista,4644,Newell-Fonda Comm School District,578,426,73.70
01,Keystone AEA,19,Chickasaw,4662,New Hampton Comm School District,1038,912,87.86
15,Great Prairie AEA,44,Henry,4689,New London Comm School District,592,526,88.85
11,Heartland AEA,50,Jasper,4725,Newton Comm School District,2857,2347,82.15
07,Central Rivers AEA,98,Worth,4772,Central Springs Comm School District,813,742,91.27
09,Mississippi Bend AEA,23,Clinton,4773,Northeast Comm School District,868,813,93.66
01,Keystone AEA,33,Fayette,4774,North Fayette Valley Comm School District,1107,1012,91.42
15,Great Prairie AEA,62,Mahaska,4776,North Mahaska Comm School District,616,580,94.16
10,Grant Wood AEA,57,Linn,4777,North Linn Comm School District,535,517,96.64
05,Prairie Lakes AEA,55,Kossuth,4778,North Kossuth Comm School District,268,235,87.69
11,Heartland AEA,77,Polk,4779,North Polk Comm School District,2243,2082,92.82
09,Mississippi Bend AEA,82,Scott,4784,North Scott Comm School District,3466,2988,86.21
07,Central Rivers AEA,86,Tama,4785,North Tama County Comm School District,476,436,91.60
07,Central Rivers AEA,98,Worth,4788,Northwood-Kensett Comm School District,594,518,87.21
11,Heartland AEA,91,Warren,4797,Norwalk Comm School District,3573,3093,86.57
12,Northwest AEA,47,Ida,4860,Odebolt Arthur Battle Creek Ida Grove Comm School District,960,900,93.75
01,Keystone AEA,33,Fayette,4869,Oelwein Comm School District,1345,1126,83.72
11,Heartland AEA,08,Boone,4878,Ogden Comm School District,758,727,95.91
05,Prairie Lakes AEA,30,Dickinson,4890,Okoboji Comm School District,1244,1094,87.94
10,Grant Wood AEA,53,Jones,4905,Olin Consolidated School District,92,90,97.83
